updateDate,code,code_name
2026-07-20,sh.603290,斯达半导
2026-07-20,sh.603298,杭叉集团
2026-07-20,sh.603308,应流股份
2026-07-20,sh.603338,浙江鼎力
2026-07-20,sh.603341,龙旗科技
2026-07-20,sh.603345,安井食品
2026-07-20,sh.603379,三美股份
2026-07-20,sh.603444,吉比特
2026-07-20,sh.603486,科沃斯
2026-07-20,sh.603529,爱玛科技
2026-07-20,sh.603565,中谷物流
2026-07-20,sh.603568,伟明环保
2026-07-20,sh.603589,口子窖
2026-07-20,sh.603596,伯特利
2026-07-20,sh.603605,珀莱雅
2026-07-20,sh.603606,东方电缆
2026-07-20,sh.603650,彤程新材
2026-07-20,sh.603658,安图生物
2026-07-20,sh.603659,璞泰来
2026-07-20,sh.603688,石英股份
2026-07-20,sh.603699,纽威股份
2026-07-20,sh.603728,鸣志电器
2026-07-20,sh.603737,三棵树
2026-07-20,sh.603766,隆鑫通用
2026-07-20,sh.603786,科博达
2026-07-20,sh.603806,福斯特
2026-07-20,sh.603816,顾家家居
2026-07-20,sh.603833,欧派家居
2026-07-20,sh.603858,步长制药
2026-07-20,sh.603885,吉祥航空
2026-07-20,sh.603899,晨光股份
2026-07-20,sh.603920,世运电路
2026-07-20,sh.603939,益丰药房
2026-07-20,sh.603979,金诚信
2026-07-20,sh.605358,立昂微
2026-07-20,sh.605589,圣泉集团
2026-07-20,sh.688002,睿创微纳
2026-07-20,sh.688017,绿的谐波
2026-07-20,sh.688018,乐鑫科技
2026-07-20,sh.688019,安集科技
2026-07-20,sh.688027,国盾量子
2026-07-20,sh.688037,芯源微
2026-07-20,sh.688052,纳芯微
2026-07-20,sh.688065,凯赛生物
2026-07-20,sh.688099,晶晨股份
2026-07-20,sh.688114,华大智造
2026-07-20,sh.688120,华海清科
2026-07-20,sh.688122,西部超导
2026-07-20,sh.688166,博瑞医药
2026-07-20,sh.688169,石头科技
2026-07-20,sh.688172,燕东微
2026-07-20,sh.688180,君实生物
2026-07-20,sh.688187,时代电气
2026-07-20,sh.688188,柏楚电子
2026-07-20,sh.688192,迪哲医药
2026-07-20,sh.688200,华峰测控
2026-07-20,sh.688213,思特威
2026-07-20,sh.688220,翱捷科技
2026-07-20,sh.688234,天岳先进
2026-07-20,sh.688235,百济神州
2026-07-20,sh.688248,南网科技
2026-07-20,sh.688266,泽璟制药
